transaction_id,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,source_system,source_txn_id,minute_bucket,match_signature,dupe_group_id,is_duplicate,unified_txn_id,customer_id_str,customer_id
TXN000026,2024-05-19,C11340,35.4,Yes,M0204,Phoenix,NY,71589,6011,,VISA,V-TXN000026,2024-05-19,C11340|M0204|35.4|2024-05-19 00:00:00,,0,TXN000026,1553,1553
TXN000027,2024-04-17,C03361,16.25,Yes,M0373,Dallas,GA,85523,6011,,ATM,A-TXN000027,2024-04-17,C03361|M0373|16.25|2024-04-17 00:00:00,,0,TXN000027,2145,2145
TXN000028,2024-04-26,C08435,80.45,Yes,M0648,Houston,NY,24325,5999,,VISA,V-TXN000028,2024-04-26,C08435|M0648|80.45|2024-04-26 00:00:00,,0,TXN000028,263,263
TXN000029,2024-12-15,C00430,70.82,Yes,M0343,Atlanta,IL,78435,4111,,VISA,V-TXN000029,2024-12-15,C00430|M0343|70.82|2024-12-15 00:00:00,,0,TXN000029,1015,1015
TXN000030,2024-03-14,C06431,96.89,No,M0517,Atlanta,FL,63351,5814,,CORE,C-TXN000030,2024-03-14,C06431|M0517|96.89|2024-03-14 00:00:00,,0,TXN000030,223,223
TXN000031,2024-03-06,C11187,60.49,Yes,M0397,Houston,NY,30680,4111,,CORE,C-TXN000031,2024-03-06,C11187|M0397|60.49|2024-03-06 00:00:00,2106.0,0,TXN000031,1550,1550
TXN000032,2024-10-07,C00248,28.42,Yes,M0656,Houston,GA,54947,4111,,CORE,C-TXN000032,2024-10-07,C00248|M0656|28.42|2024-10-07 00:00:00,,0,TXN000032,485,485
TXN000033,2024-04-04,C04883,18.75,Yes,M0498,Phoenix,AZ,35105,6011,,VISA,V-TXN000033,2024-04-04,C04883|M0498|18.75|2024-04-04 00:00:00,,0,TXN000033,2308,2308
TXN000034,2024-01-01,C08510,65.33,Yes,M0583,Houston,NY,27330,5814,,ATM,A-TXN000034,2024-01-01,C08510|M0583|65.33|2024-01-01 00:00:00,,0,TXN000034,1709,1709
TXN000035,2024-12-01,C05036,71.65,No,M0697,Chicago,CA,74541,5999,,CORE,C-TXN000035,2024-12-01,C05036|M0697|71.65|2024-12-01 00:00:00,,0,TXN000035,2239,2239
TXN000036,2024-04-09,C00717,225.36,No,M0167,Atlanta,IL,34758,6011,,VISA,V-TXN000036,2024-04-09,C00717|M0167|225.36|2024-04-09 00:00:00,,0,TXN000036,2314,2314
TXN000037,2024-11-08,C06822,64.6,No,M0096,Houston,TX,81468,6011,,ATM,A-TXN000037,2024-11-08,C06822|M0096|64.6|2024-11-08 00:00:00,1291.0,0,TXN000037,557,557
TXN000038,2024-07-11,C05937,225.91,Yes,M0111,New York,GA,58986,5411,,ATM,A-TXN000038,2024-07-11,C05937|M0111|225.91|2024-07-11 00:00:00,1110.0,0,TXN000038,982,982
TXN000039,2024-03-13,C03339,90.7,Yes,M0231,Chicago,FL,77314,5411,,VISA,V-TXN000039,2024-03-13,C03339|M0231|90.7|2024-03-13 00:00:00,,0,TXN000039,2264,2264
TXN000040,2024-10-02,C00283,23.03,Yes,M0673,Dallas,NY,46429,5732,,ATM,A-TXN000040,2024-10-02,C00283|M0673|23.03|2024-10-02 00:00:00,,0,TXN000040,1719,1719
TXN000041,2024-03-21,C05056,17.2,Yes,M0222,Phoenix,FL,41896,5732,,CORE,C-TXN000041,2024-03-21,C05056|M0222|17.2|2024-03-21 00:00:00,,0,TXN000041,2194,2194
TXN000042,2024-04-02,C09409,270.74,Yes,M0509,New York,CA,69286,5411,,CORE,C-TXN000042,2024-04-02,C09409|M0509|270.74|2024-04-02 00:00:00,,0,TXN000042,2571,2571
TXN000043,2024-01-14,C02575,28.23,No,M0119,Phoenix,NY,54788,6011,,ATM,A-TXN000043,2024-01-14,C02575|M0119|28.23|2024-01-14 00:00:00,,0,TXN000043,2802,2802
TXN000044,2024-01-17,C11609,44.18,No,M0592,Atlanta,GA,88050,5999,,ATM,A-TXN000044,2024-01-17,C11609|M0592|44.18|2024-01-17 00:00:00,,0,TXN000044,1153,1153
TXN000045,2024-08-02,C03329,12.88,Yes,M0422,Atlanta,FL,80252,5732,,CORE,C-TXN000045,2024-08-02,C03329|M0422|12.88|2024-08-02 00:00:00,,0,TXN000045,2613,2613
TXN000046,2024-02-08,C07699,35.71,Yes,M0352,Los Angeles,FL,68042,5732,,VISA,V-TXN000046,2024-02-08,C07699|M0352|35.71|2024-02-08 00:00:00,,0,TXN000046,1888,1888
TXN000047,2024-03-16,C05304,260.66,Yes,M0217,Atlanta,IL,13013,4111,,CORE,C-TXN000047,2024-03-16,C05304|M0217|260.66|2024-03-16 00:00:00,,0,TXN000047,2766,2766
TXN000048,2024-12-05,C11968,17.66,No,M0420,Atlanta,NY,14968,6011,,ATM,A-TXN000048,2024-12-05,C11968|M0420|17.66|2024-12-05 00:00:00,,0,TXN000048,1057,1057
TXN000049,2024-02-28,C01826,193.13,Yes,M0495,Dallas,TX,49721,4111,,VISA,V-TXN000049,2024-02-28,C01826|M0495|193.13|2024-02-28 00:00:00,,0,TXN000049,2439,2439
TXN000050,2024-04-16,C03648,15.42,Yes,M0680,Chicago,FL,24194,5814,,VISA,V-TXN000050,2024-04-16,C03648|M0680|15.42|2024-04-16 00:00:00,,0,TXN000050,83,83
TXN000051,2024-11-10,C07946,94.2,Yes,M0573,Chicago,GA,27289,6011,,CORE,C-TXN000051,2024-11-10,C07946|M0573|94.2|2024-11-10 00:00:00,,0,TXN000051,453,453
TXN000052,2024-12-26,C06332,64.71,Yes,M0191,Houston,TX,88144,5732,,VISA,V-TXN000052,2024-12-26,C06332|M0191|64.71|2024-12-26 00:00:00,,0,TXN000052,1098,1098
TXN000053,2024-01-11,C05799,114.94,Yes,M0579,Phoenix,GA,65768,5999,,CORE,C-TXN000053,2024-01-11,C05799|M0579|114.94|2024-01-11 00:00:00,,0,TXN000053,1668,1668
TXN000054,2024-03-11,C05869,130.3,No,M0228,Houston,FL,36286,5999,,VISA,V-TXN000054,2024-03-11,C05869|M0228|130.3|2024-03-11 00:00:00,,0,TXN000054,1688,1688
TXN000055,2024-06-20,C01090,100.61,No,M0491,Chicago,AZ,78755,5814,,VISA,V-TXN000055,2024-06-20,C01090|M0491|100.61|2024-06-20 00:00:00,,0,TXN000055,2478,2478
TXN000056,2024-05-18,C00288,27.49,Yes,M0558,Dallas,GA,65533,5411,,ATM,A-TXN000056,2024-05-18,C00288|M0558|27.49|2024-05-18 00:00:00,,0,TXN000056,1990,1990
TXN000057,2024-04-18,C09267,90.52,Yes,M0082,Los Angeles,FL,80175,5814,,VISA,V-TXN000057,2024-04-18,C09267|M0082|90.52|2024-04-18 00:00:00,,0,TXN000057,1913,1913
TXN000058,2024-03-12,C05689,86.97,Yes,M0487,New York,NY,94174,5814,,VISA,V-TXN000058,2024-03-12,C05689|M0487|86.97|2024-03-12 00:00:00,,0,TXN000058,1420,1420
TXN000059,2024-04-27,C02132,162.0,Yes,M0506,Los Angeles,CA,83664,5999,,VISA,V-TXN000059,2024-04-27,C02132|M0506|162.0|2024-04-27 00:00:00,,0,TXN000059,702,702
TXN000060,2024-03-24,C05308,19.7,Yes,M0688,Atlanta,NY,13824,5411,,CORE,C-TXN000060,2024-03-24,C05308|M0688|19.7|2024-03-24 00:00:00,,0,TXN000060,852,852
TXN000061,2024-03-17,C02231,83.97,Yes,M0631,Houston,FL,87350,6011,,CORE,C-TXN000061,2024-03-17,C02231|M0631|83.97|2024-03-17 00:00:00,,0,TXN000061,218,218
TXN000062,2024-09-01,C09990,28.44,Yes,M0012,Phoenix,FL,28395,5411,,ATM,A-TXN000062,2024-09-01,C09990|M0012|28.44|2024-09-01 00:00:00,,0,TXN000062,460,460
TXN000063,2024-04-22,C10759,97.15,No,M0387,Phoenix,NY,40236,5411,,ATM,A-TXN000063,2024-04-22,C10759|M0387|97.15|2024-04-22 00:00:00,,0,TXN000063,1761,1761
TXN000064,2024-06-24,C02385,68.43,No,M0016,Chicago,AZ,12556,5411,,ATM,A-TXN000064,2024-06-24,C02385|M0016|68.43|2024-06-24 00:00:00,,0,TXN000064,1342,1342
TXN000065,2024-06-20,C11418,26.85,No,M0672,New York,AZ,99799,5411,,ATM,A-TXN000065,2024-06-20,C11418|M0672|26.85|2024-06-20 00:00:00,,0,TXN000065,1612,1612
TXN000066,2024-02-19,C04214,20.52,Yes,M0099,Dallas,AZ,24317,5814,,VISA,V-TXN000066,2024-02-19,C04214|M0099|20.52|2024-02-19 00:00:00,,0,TXN000066,1466,1466
TXN000067,2024-12-11,C04447,105.93,Yes,M0212,Los Angeles,GA,95665,5814,,VISA,V-TXN000067,2024-12-11,C04447|M0212|105.93|2024-12-11 00:00:00,,0,TXN000067,2214,2214
TXN000068,2024-12-19,C11618,146.27,Yes,M0188,Dallas,IL,52408,6011,,VISA,V-TXN000068,2024-12-19,C11618|M0188|146.27|2024-12-19 00:00:00,,0,TXN000068,1476,1476
TXN000069,2024-04-28,C00210,46.97,Yes,M0336,New York,FL,37330,5411,,VISA,V-TXN000069,2024-04-28,C00210|M0336|46.97|2024-04-28 00:00:00,,0,TXN000069,2193,2193
TXN000070,2024-04-17,C05353,87.85,Yes,M0552,Chicago,CA,44022,5732,,CORE,C-TXN000070,2024-04-17,C05353|M0552|87.85|2024-04-17 00:00:00,,0,TXN000070,2570,2570
TXN000071,2024-10-14,C04220,141.13,Yes,M0229,Los Angeles,GA,40872,5814,,VISA,V-TXN000071,2024-10-14,C04220|M0229|141.13|2024-10-14 00:00:00,,0,TXN000071,2515,2515
TXN000072,2024-02-26,C07147,112.87,Yes,M0673,Dallas,NY,63449,5411,,ATM,A-TXN000072,2024-02-26,C07147|M0673|112.87|2024-02-26 00:00:00,1345.0,0,TXN000072,412,412
TXN000073,2024-12-09,C00590,114.58,Yes,M0026,Atlanta,TX,62367,5814,,VISA,V-TXN000073,2024-12-09,C00590|M0026|114.58|2024-12-09 00:00:00,,0,TXN000073,2734,2734
TXN000074,2024-03-28,C08325,75.27,Yes,M0048,Dallas,AZ,92235,5411,,ATM,A-TXN000074,2024-03-28,C08325|M0048|75.27|2024-03-28 00:00:00,,0,TXN000074,1901,1901
TXN000075,2024-11-21,C03840,21.77,No,M0062,New York,GA,34076,5999,,VISA,V-TXN000075,2024-11-21,C03840|M0062|21.77|2024-11-21 00:00:00,,0,TXN000075,386,386
TXN000076,2024-04-09,C05121,244.65,Yes,M0483,Phoenix,FL,13401,5411,,VISA,V-TXN000076,2024-04-09,C05121|M0483|244.65|2024-04-09 00:00:00,,0,TXN000076,1916,1916
TXN000077,2024-05-26,C08532,39.34,Yes,M0415,Chicago,AZ,66767,6011,,ATM,A-TXN000077,2024-05-26,C08532|M0415|39.34|2024-05-26 00:00:00,,0,TXN000077,2990,2990
TXN000078,2024-03-08,C07554,19.72,Yes,M0219,Phoenix,GA,95926,5814,,ATM,A-TXN000078,2024-03-08,C07554|M0219|19.72|2024-03-08 00:00:00,,0,TXN000078,38,38
TXN000079,2024-10-14,C03307,169.43,Yes,M0318,New York,GA,27221,6011,,ATM,A-TXN000079,2024-10-14,C03307|M0318|169.43|2024-10-14 00:00:00,,0,TXN000079,2967,2967
TXN000080,2024-12-19,C10877,181.36,Yes,M0190,Phoenix,AZ,66245,6011,,CORE,C-TXN000080,2024-12-19,C10877|M0190|181.36|2024-12-19 00:00:00,,0,TXN000080,2209,2209
TXN000081,2024-12-04,C08174,177.12,Yes,M0602,Chicago,AZ,88171,5999,,VISA,V-TXN000081,2024-12-04,C08174|M0602|177.12|2024-12-04 00:00:00,,0,TXN000081,2166,2166
TXN000082,2024-05-14,C01637,68.13,No,M0538,New York,FL,97100,5999,,CORE,C-TXN000082,2024-05-14,C01637|M0538|68.13|2024-05-14 00:00:00,,0,TXN000082,2654,2654
TXN000083,2024-09-19,C09994,39.59,No,M0628,Phoenix,FL,26609,5411,,ATM,A-TXN000083,2024-09-19,C09994|M0628|39.59|2024-09-19 00:00:00,,0,TXN000083,1348,1348
TXN000084,2024-06-26,C03319,143.6,Yes,M0530,Dallas,NY,16073,4111,,VISA,V-TXN000084,2024-06-26,C03319|M0530|143.6|2024-06-26 00:00:00,646.0,0,TXN000084,198,198
TXN000085,2024-08-27,C04933,220.02,Yes,M0173,Los Angeles,TX,57076,6011,,VISA,V-TXN000085,2024-08-27,C04933|M0173|220.02|2024-08-27 00:00:00,,0,TXN000085,1506,1506
TXN000086,2024-03-10,C01466,10.83,Yes,M0237,Houston,CA,93329,5999,,ATM,A-TXN000086,2024-03-10,C01466|M0237|10.83|2024-03-10 00:00:00,,0,TXN000086,2299,2299
TXN000087,2024-09-19,C10820,198.92,Yes,M0517,Chicago,AZ,56939,5732,,ATM,A-TXN000087,2024-09-19,C10820|M0517|198.92|2024-09-19 00:00:00,,0,TXN000087,1017,1017
TXN000088,2024-12-05,C04888,31.56,No,M0478,Dallas,FL,95378,6011,,ATM,A-TXN000088,2024-12-05,C04888|M0478|31.56|2024-12-05 00:00:00,,0,TXN000088,2516,2516
TXN000089,2024-12-08,C11888,136.68,No,M0009,Phoenix,TX,78697,5999,,VISA,V-TXN000089,2024-12-08,C11888|M0009|136.68|2024-12-08 00:00:00,,0,TXN000089,832,832
TXN000090,2024-07-08,C08667,143.01,No,M0245,Dallas,CA,44902,5411,,ATM,A-TXN000090,2024-07-08,C08667|M0245|143.01|2024-07-08 00:00:00,,0,TXN000090,1573,1573
TXN000091,2024-03-01,C02360,76.0,Yes,M0221,Atlanta,NY,28743,5411,,ATM,A-TXN000091,2024-03-01,C02360|M0221|76.0|2024-03-01 00:00:00,,0,TXN000091,104,104
TXN000092,2024-12-07,C03450,56.04,No,M0447,Atlanta,GA,31586,5814,,ATM,A-TXN000092,2024-12-07,C03450|M0447|56.04|2024-12-07 00:00:00,,0,TXN000092,2033,2033
TXN000093,2024-12-03,C02276,30.35,No,M0441,Houston,CA,27127,4111,,VISA,V-TXN000093,2024-12-03,C02276|M0441|30.35|2024-12-03 00:00:00,,0,TXN000093,1258,1258
TXN000094,2024-05-13,C10020,31.96,Yes,M0315,New York,GA,86157,5999,,ATM,A-TXN000094,2024-05-13,C10020|M0315|31.96|2024-05-13 00:00:00,,0,TXN000094,2121,2121
TXN000095,2024-12-12,C02001,65.06,Yes,M0036,New York,FL,87096,5814,,VISA,V-TXN000095,2024-12-12,C02001|M0036|65.06|2024-12-12 00:00:00,,0,TXN000095,2082,2082
TXN000096,2024-12-25,C08972,22.31,Yes,M0610,Atlanta,GA,19142,5999,,VISA,V-TXN000096,2024-12-25,C08972|M0610|22.31|2024-12-25 00:00:00,,0,TXN000096,1186,1186
TXN000097,2024-06-09,C10636,100.33,Yes,M0013,Chicago,TX,95543,6011,,CORE,C-TXN000097,2024-06-09,C10636|M0013|100.33|2024-06-09 00:00:00,,0,TXN000097,923,923
TXN000098,2024-11-08,C07509,12.58,Yes,M0275,Atlanta,NY,75827,5411,,VISA,V-TXN000098,2024-11-08,C07509|M0275|12.58|2024-11-08 00:00:00,,0,TXN000098,720,720
TXN000099,2024-09-01,C10312,12.17,No,M0138,Dallas,GA,19779,5411,,ATM,A-TXN000099,2024-09-01,C10312|M0138|12.17|2024-09-01 00:00:00,,0,TXN000099,1284,1284
TXN000100,2024-11-27,C03530,67.1,No,M0203,Los Angeles,NY,42126,6011,,VISA,V-TXN000100,2024-11-27,C03530|M0203|67.1|2024-11-27 00:00:00,,0,TXN000100,2524,2524
TXN000101,2024-03-11,C09278,34.73,Yes,M0036,Los Angeles,GA,18000,5411,,VISA,V-TXN000101,2024-03-11,C09278|M0036|34.73|2024-03-11 00:00:00,,0,TXN000101,337,337
TXN000102,2024-05-21,C06649,61.92,Yes,M0260,New York,GA,24963,4111,,CORE,C-TXN000102,2024-05-21,C06649|M0260|61.92|2024-05-21 00:00:00,1260.0,1,DUP-TXN000102-1,1513,1513
TXN000103,2024-02-10,C01472,75.27,Yes,M0357,Phoenix,NY,11528,6011,,VISA,V-TXN000103,2024-02-10,C01472|M0357|75.27|2024-02-10 00:00:00,,0,TXN000103,1740,1740
TXN000104,2024-09-27,C09203,39.83,Yes,M0414,Chicago,FL,61063,5814,,CORE,C-TXN000104,2024-09-27,C09203|M0414|39.83|2024-09-27 00:00:00,,0,TXN000104,197,197
TXN000105,2024-12-03,C05977,179.01,Yes,M0189,Houston,TX,28318,5814,,VISA,V-TXN000105,2024-12-03,C05977|M0189|179.01|2024-12-03 00:00:00,,0,TXN000105,995,995
TXN000106,2024-08-14,C05788,64.84,Yes,M0160,Chicago,NY,12001,6011,,VISA,V-TXN000106,2024-08-14,C05788|M0160|64.84|2024-08-14 00:00:00,,0,TXN000106,100,100
TXN000107,2024-02-10,C10756,148.19,Yes,M0074,Phoenix,TX,76473,5814,,CORE,C-TXN000107,2024-02-10,C10756|M0074|148.19|2024-02-10 00:00:00,2011.0,1,TXN_DUP001667,2654,2654
TXN000108,2024-12-10,C04954,188.73,Yes,M0301,Houston,TX,98201,5814,,VISA,V-TXN000108,2024-12-10,C04954|M0301|188.73|2024-12-10 00:00:00,,0,TXN000108,2111,2111
TXN000109,2024-03-20,C06541,186.06,Yes,M0287,Phoenix,FL,82623,5411,,CORE,C-TXN000109,2024-03-20,C06541|M0287|186.06|2024-03-20 00:00:00,,0,TXN000109,1358,1358
TXN000110,2024-12-08,C07763,15.44,Yes,M0696,Los Angeles,FL,49754,5732,,VISA,V-TXN000110,2024-12-08,C07763|M0696|15.44|2024-12-08 00:00:00,,0,TXN000110,1021,1021
TXN000111,2024-11-07,C07266,13.68,No,M0233,Phoenix,CA,37796,5814,,ATM,A-TXN000111,2024-11-07,C07266|M0233|13.68|2024-11-07 00:00:00,,0,TXN000111,2958,2958
TXN000112,2024-09-02,C10704,81.73,No,M0298,Phoenix,AZ,73052,6011,,VISA,V-TXN000112,2024-09-02,C10704|M0298|81.73|2024-09-02 00:00:00,,0,TXN000112,2332,2332
TXN000113,2024-09-05,C02921,52.22,No,M0087,New York,NY,30105,5411,,CORE,C-TXN000113,2024-09-05,C02921|M0087|52.22|2024-09-05 00:00:00,,0,TXN000113,1743,1743
TXN000114,2024-03-18,C02970,128.18,Yes,M0376,Phoenix,TX,16861,5732,,CORE,C-TXN000114,2024-03-18,C02970|M0376|128.18|2024-03-18 00:00:00,,0,TXN000114,876,876
TXN000115,2024-07-22,C00108,255.7,No,M0075,New York,FL,15035,5814,,VISA,V-TXN000115,2024-07-22,C00108|M0075|255.7|2024-07-22 00:00:00,,0,TXN000115,1623,1623
TXN000116,2024-03-05,C01382,15.58,Yes,M0013,New York,FL,34318,5999,,ATM,A-TXN000116,2024-03-05,C01382|M0013|15.58|2024-03-05 00:00:00,,0,TXN000116,2586,2586
TXN000117,2024-08-19,C03422,89.65,Yes,M0053,Houston,GA,75293,5411,,VISA,V-TXN000117,2024-08-19,C03422|M0053|89.65|2024-08-19 00:00:00,,0,TXN000117,419,419
TXN000118,2024-06-14,C06790,84.22,Yes,M0112,Dallas,NY,42216,6011,,VISA,V-TXN000118,2024-06-14,C06790|M0112|84.22|2024-06-14 00:00:00,,0,TXN000118,1314,1314
TXN000119,2024-10-17,C10982,172.5,Yes,M0182,Dallas,NY,41371,5814,,ATM,A-TXN000119,2024-10-17,C10982|M0182|172.5|2024-10-17 00:00:00,,0,TXN000119,1794,1794
TXN000120,2024-12-11,C11236,40.12,No,M0299,Dallas,TX,32946,5999,,CORE,C-TXN000120,2024-12-11,C11236|M0299|40.12|2024-12-11 00:00:00,2119.0,1,DUP-TXN_DUP001638-2,991,991
TXN000121,2024-05-25,C06737,68.0,Yes,M0147,Atlanta,IL,12508,5814,,CORE,C-TXN000121,2024-05-25,C06737|M0147|68.0|2024-05-25 00:00:00,,0,TXN000121,2475,2475
TXN000122,2024-09-25,C09883,236.01,No,M0423,Dallas,CA,70749,4111,,ATM,A-TXN000122,2024-09-25,C09883|M0423|236.01|2024-09-25 00:00:00,,0,TXN000122,684,684
TXN000123,2024-12-14,C04840,443.55,Yes,M0405,Houston,TX,89386,5999,,ATM,A-TXN000123,2024-12-14,C04840|M0405|443.55|2024-12-14 00:00:00,,0,TXN000123,751,751
TXN000124,2024-02-28,C02529,77.06,Yes,M0431,Chicago,FL,69316,5814,,VISA,V-TXN000124,2024-02-28,C02529|M0431|77.06|2024-02-28 00:00:00,,0,TXN000124,1452,1452
TXN000125,2024-12-22,C07157,28.64,Yes,M0138,New York,CA,57524,5411,,CORE,C-TXN000125,2024-12-22,C07157|M0138|28.64|2024-12-22 00:00:00,,0,TXN000125,43,43
TXN000126,2024-03-12,C06842,136.19,Yes,M0496,Los Angeles,FL,11679,5999,,ATM,A-TXN000126,2024-03-12,C06842|M0496|136.19|2024-03-12 00:00:00,,0,TXN000126,2036,2036
TXN000127,2024-08-17,C05972,47.62,Yes,M0059,Phoenix,AZ,26607,6011,,ATM,A-TXN000127,2024-08-17,C05972|M0059|47.62|2024-08-17 00:00:00,,0,TXN000127,1646,1646
TXN000128,2024-12-14,C07871,204.74,Yes,M0297,New York,FL,91244,5814,,ATM,A-TXN000128,2024-12-14,C07871|M0297|204.74|2024-12-14 00:00:00,,0,TXN000128,147,147
TXN000129,2024-12-26,C11681,136.97,Yes,M0126,Phoenix,IL,13709,5411,,VISA,V-TXN000129,2024-12-26,C11681|M0126|136.97|2024-12-26 00:00:00,2195.0,0,TXN000129,817,817
TXN000130,2024-04-15,C10833,234.74,Yes,M0656,Houston,CA,81754,5999,,CORE,C-TXN000130,2024-04-15,C10833|M0656|234.74|2024-04-15 00:00:00,2025.0,0,TXN000130,2429,2429
TXN000131,2024-03-08,C02081,29.35,Yes,M0290,Houston,AZ,98733,5411,,CORE,C-TXN000131,2024-03-08,C02081|M0290|29.35|2024-03-08 00:00:00,,0,TXN000131,1775,1775
TXN000132,2024-12-08,C05732,52.95,Yes,M0229,Houston,CA,81961,6011,,VISA,V-TXN000132,2024-12-08,C05732|M0229|52.95|2024-12-08 00:00:00,,0,TXN000132,1727,1727
TXN000133,2024-12-26,C01576,32.98,No,M0044,Phoenix,FL,56813,5999,,VISA,V-TXN000133,2024-12-26,C01576|M0044|32.98|2024-12-26 00:00:00,,0,TXN000133,1489,1489
TXN000134,2024-09-15,C09466,235.8,No,M0249,Dallas,IL,17061,5814,,VISA,V-TXN000134,2024-09-15,C09466|M0249|235.8|2024-09-15 00:00:00,,0,TXN000134,844,844
