dispute_id,transaction_id,feedback,dispute_raised,dispute_resolved,status,resolution_days,reason_code_std,reason_category,status_std,unified_txn_id
DISP00069,TXN008665,Merchant Error,2024-06-01,2024-06-24,Resolved,23,OTHER,Other,CLOSED,TXN008665
DISP00070,TXN012812,Merchant Error,2024-03-19,2024-04-13,Resolved,25,OTHER,Other,CLOSED,TXN012812
DISP00071,TXN018632,Unauthorized,2024-04-17,2024-04-27,Resolved,10,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN018632
DISP00072,TXN005109,Merchant Error,2024-01-05,2024-02-02,Resolved,28,OTHER,Other,CLOSED,TXN005109
DISP00073,TXN007136,Unauthorized,2024-12-13,2024-12-29,Resolved,16,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN007136
DISP00074,TXN008780,Merchant Error,2024-11-17,2024-12-11,Resolved,24,OTHER,Other,CLOSED,TXN008780
DISP00075,TXN014187,Unauthorized,2024-10-02,2024-10-22,Resolved,20,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN014187
DISP00076,TXN011506,Merchant Error,2024-12-22,2025-01-15,Resolved,24,OTHER,Other,CLOSED,TXN011506
DISP00077,TXN008172,Unauthorized,2024-03-14,2024-03-30,Resolved,16,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN008172
DISP00078,TXN018369,Unauthorized,2024-09-10,2024-09-24,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN018369
DISP00079,TXN016656,Merchant Error,2024-02-02,2024-02-26,Resolved,24,OTHER,Other,CLOSED,TXN016656
DISP00080,TXN015205,Merchant Error,2024-03-26,2024-04-18,Resolved,23,OTHER,Other,CLOSED,TXN015205
DISP00081,TXN002071,Duplicate Charge,2024-02-09,2024-03-18,Resolved,38,DUPLICATE_CHARGE,Billing,CLOSED,TXN002071
DISP00082,TXN005446,Merchant Error,2024-08-19,2024-09-09,Resolved,21,OTHER,Other,CLOSED,TXN005446
DISP00083,TXN012912,Unauthorized,2024-05-23,2024-06-08,Resolved,16,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN012912
DISP00084,TXN016620,Merchant Error,2024-12-02,2024-12-25,Resolved,23,OTHER,Other,CLOSED,TXN016620
DISP00085,TXN001797,Merchant Error,2024-12-27,2025-01-23,Resolved,27,OTHER,Other,CLOSED,TXN001797
DISP00086,TXN017336,Merchant Error,2024-11-09,2024-11-30,Resolved,21,OTHER,Other,CLOSED,TXN017336
DISP00087,TXN007799,Unauthorized,2024-03-06,2024-03-22,Resolved,16,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN007799
DISP00088,TXN003480,Unauthorized,2024-10-01,2024-10-16,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN003480
DISP00089,TXN000833,Unauthorized,2024-05-24,2024-06-08,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN000833
DISP00090,TXN016095,Unauthorized,2024-09-13,2024-09-24,Resolved,11,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN016095
DISP00091,TXN004796,Merchant Error,2024-02-28,2024-03-23,Resolved,24,OTHER,Other,CLOSED,TXN004796
DISP00092,TXN011512,Merchant Error,2024-09-10,2024-09-30,Resolved,20,OTHER,Other,CLOSED,TXN011512
DISP00093,TXN004603,Unauthorized,2024-12-20,2025-01-03,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN004603
DISP00094,TXN016178,Merchant Error,2024-07-10,2024-08-02,Resolved,23,OTHER,Other,CLOSED,TXN016178
DISP00095,TXN014092,Merchant Error,2024-08-13,2024-09-07,Resolved,25,OTHER,Other,CLOSED,TXN014092
DISP00096,TXN010958,Duplicate Charge,2024-10-23,2024-11-28,Resolved,36,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP000902
DISP00097,TXN_DUP000168,Duplicate Charge,2024-12-07,2025-01-13,Resolved,37,DUPLICATE_CHARGE,Billing,CLOSED,TXN003939
DISP00098,TXN004922,Merchant Error,2024-05-20,2024-06-19,Resolved,30,OTHER,Other,CLOSED,TXN004922
DISP00099,TXN001646,Unauthorized,2024-12-02,2024-12-16,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN001646
DISP00100,TXN007675,Merchant Error,2024-08-17,2024-09-10,Resolved,24,OTHER,Other,CLOSED,TXN007675
DISP00101,TXN006501,Unauthorized,2024-04-09,2024-04-27,Resolved,18,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN006501
DISP00102,TXN001482,Merchant Error,2024-07-19,2024-08-11,Resolved,23,OTHER,Other,CLOSED,TXN001482
DISP00103,TXN012542,Duplicate Charge,2024-04-15,2024-05-19,Resolved,34,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP001483
DISP00104,TXN018706,Merchant Error,2024-01-11,2024-02-09,Resolved,29,OTHER,Other,CLOSED,TXN018706
DISP00105,TXN010910,Merchant Error,2024-02-08,2024-03-01,Resolved,22,OTHER,Other,CLOSED,TXN010910
DISP00106,TXN_DUP000494,Duplicate Charge,2024-02-16,2024-03-25,Resolved,38,DUPLICATE_CHARGE,Billing,CLOSED,TXN017494
DISP00107,TXN015910,Unauthorized,2024-08-19,2024-09-02,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN015910
DISP00108,TXN000308,Unauthorized,2024-10-03,2024-10-14,Resolved,11,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN000308
DISP00109,TXN000491,Merchant Error,2024-12-18,2025-01-13,Resolved,26,OTHER,Other,CLOSED,TXN000491
DISP00110,TXN013074,Merchant Error,2024-03-01,2024-03-30,Resolved,29,OTHER,Other,CLOSED,TXN013074
DISP00111,TXN_DUP000391,Duplicate Charge,2024-08-21,2024-10-05,Resolved,45,DUPLICATE_CHARGE,Billing,CLOSED,TXN002970
DISP00112,TXN006948,Unauthorized,2024-11-08,2024-11-22,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN006948
DISP00113,TXN019160,Merchant Error,2024-04-02,2024-04-28,Resolved,26,OTHER,Other,CLOSED,TXN019160
DISP00114,TXN001254,Unauthorized,2024-12-20,2025-01-05,Resolved,16,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN001254
DISP00115,TXN010445,Merchant Error,2024-11-12,2024-12-08,Resolved,26,OTHER,Other,CLOSED,TXN010445
DISP00116,TXN014169,Merchant Error,2024-03-12,2024-04-04,Resolved,23,OTHER,Other,CLOSED,TXN014169
DISP00117,TXN_DUP001599,Duplicate Charge,2024-08-15,2024-09-27,Resolved,43,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP001599
DISP00118,TXN005868,Merchant Error,2024-05-02,2024-05-30,Resolved,28,OTHER,Other,CLOSED,TXN005868
DISP00119,TXN015588,Merchant Error,2024-06-14,2024-07-10,Resolved,26,OTHER,Other,CLOSED,TXN015588
DISP00120,TXN004096,Duplicate Charge,2024-09-19,2024-10-31,Resolved,42,DUPLICATE_CHARGE,Billing,CLOSED,TXN004096
DISP00121,TXN019632,Merchant Error,2024-12-19,2025-01-18,Resolved,30,OTHER,Other,CLOSED,TXN019632
DISP00122,TXN007757,Duplicate Charge,2024-01-02,2024-02-15,Resolved,44,DUPLICATE_CHARGE,Billing,CLOSED,TXN007757
DISP00123,TXN016060,Merchant Error,2024-12-23,2025-01-12,Resolved,20,OTHER,Other,CLOSED,TXN016060
DISP00124,TXN001245,Merchant Error,2024-12-07,2024-12-27,Resolved,20,OTHER,Other,CLOSED,TXN001245
DISP00125,TXN008190,Unauthorized,2024-02-03,2024-02-13,Resolved,10,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN008190
DISP00126,TXN001418,Unauthorized,2024-10-22,2024-11-11,Resolved,20,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN001418
DISP00127,TXN013512,Unauthorized,2024-12-07,2024-12-27,Resolved,20,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN013512
DISP00128,TXN014671,Unauthorized,2024-06-24,2024-07-06,Resolved,12,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN014671
DISP00129,TXN008105,Duplicate Charge,2024-04-09,2024-05-21,Resolved,42,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP000035
DISP00130,TXN012939,Unauthorized,2024-07-09,2024-07-24,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN012939
DISP00131,TXN_DUP000746,Duplicate Charge,2024-03-11,2024-04-16,Resolved,36,DUPLICATE_CHARGE,Billing,CLOSED,TXN015883
DISP00132,TXN_DUP001561,Duplicate Charge,2024-10-21,2024-11-22,Resolved,32,DUPLICATE_CHARGE,Billing,CLOSED,TXN004429
DISP00133,TXN000574,Merchant Error,2024-12-04,2024-12-27,Resolved,23,OTHER,Other,CLOSED,TXN000574
DISP00134,TXN015483,Merchant Error,2024-10-16,2024-11-06,Resolved,21,OTHER,Other,CLOSED,TXN015483
DISP00135,TXN006454,Merchant Error,2024-08-10,2024-09-08,Resolved,29,OTHER,Other,CLOSED,TXN006454
DISP00136,TXN019916,Unauthorized,2024-10-23,2024-11-09,Resolved,17,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN019916
DISP00137,TXN017325,Unauthorized,2024-05-09,2024-05-29,Resolved,20,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN017325
DISP00138,TXN013226,Merchant Error,2024-08-16,2024-09-12,Resolved,27,OTHER,Other,CLOSED,TXN013226
DISP00139,TXN013973,Unauthorized,2024-11-15,2024-11-29,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN013973
DISP00140,TXN000952,Unauthorized,2024-12-18,2024-12-28,Resolved,10,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN000952
DISP00141,TXN014131,Unauthorized,2024-12-07,2024-12-20,Resolved,13,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN014131
DISP00142,TXN009465,Merchant Error,2024-03-09,2024-03-31,Resolved,22,OTHER,Other,CLOSED,TXN009465
DISP00143,TXN015132,Unauthorized,2024-09-25,2024-10-14,Resolved,19,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN015132
DISP00144,TXN001421,Duplicate Charge,2024-08-28,2024-09-30,Resolved,33,DUPLICATE_CHARGE,Billing,CLOSED,TXN001421
DISP00145,TXN010834,Merchant Error,2024-04-07,2024-04-29,Resolved,22,OTHER,Other,CLOSED,TXN010834
DISP00146,TXN001848,Unauthorized,2024-12-21,2025-01-05,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN001848
DISP00147,TXN007507,Unauthorized,2024-02-08,2024-02-26,Resolved,18,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN007507
DISP00148,TXN001058,Unauthorized,2024-04-25,2024-05-15,Resolved,20,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN001058
DISP00149,TXN019248,Duplicate Charge,2024-12-11,2025-01-19,Resolved,39,DUPLICATE_CHARGE,Billing,CLOSED,TXN019248
DISP00150,TXN009170,Unauthorized,2024-03-06,2024-03-18,Resolved,12,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN009170
DISP00151,TXN011086,Merchant Error,2024-08-14,2024-09-13,Resolved,30,OTHER,Other,CLOSED,TXN011086
DISP00152,TXN008556,Merchant Error,2024-01-01,2024-01-26,Resolved,25,OTHER,Other,CLOSED,TXN008556
DISP00153,TXN017216,Merchant Error,2024-03-04,2024-03-30,Resolved,26,OTHER,Other,CLOSED,TXN017216
DISP00154,TXN016247,Unauthorized,2024-07-17,2024-08-06,Resolved,20,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN016247
DISP00155,TXN010812,Duplicate Charge,2024-04-12,2024-05-21,Resolved,39,DUPLICATE_CHARGE,Billing,CLOSED,TXN010812
DISP00156,TXN009256,Merchant Error,2024-01-13,2024-02-04,Resolved,22,OTHER,Other,CLOSED,TXN009256
DISP00157,TXN007659,Merchant Error,2024-12-09,2025-01-07,Resolved,29,OTHER,Other,CLOSED,TXN007659
DISP00158,TXN014256,Unauthorized,2024-02-22,2024-03-10,Resolved,17,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN014256
DISP00159,TXN015138,Merchant Error,2024-05-05,2024-05-27,Resolved,22,OTHER,Other,CLOSED,TXN015138
DISP00160,TXN010465,Merchant Error,2024-12-19,2025-01-13,Resolved,25,OTHER,Other,CLOSED,TXN010465
DISP00161,TXN003639,Merchant Error,2024-12-22,2025-01-20,Resolved,29,OTHER,Other,CLOSED,TXN003639
DISP00162,TXN015088,Unauthorized,2024-07-26,2024-08-13,Resolved,18,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN015088
DISP00163,TXN003715,Unauthorized,2024-08-14,2024-09-03,Resolved,20,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN003715
DISP00164,TXN014206,Duplicate Charge,2024-03-27,2024-05-05,Resolved,39,DUPLICATE_CHARGE,Billing,CLOSED,TXN014206
DISP00165,TXN017831,Merchant Error,2024-11-18,2024-12-11,Resolved,23,OTHER,Other,CLOSED,TXN017831
DISP00166,TXN_DUP000876,Duplicate Charge,2024-09-08,2024-10-09,Resolved,31,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP000876
DISP00167,TXN002387,Merchant Error,2024-12-20,2025-01-17,Resolved,28,OTHER,Other,CLOSED,TXN002387
DISP00168,TXN003771,Merchant Error,2024-11-02,2024-11-26,Resolved,24,OTHER,Other,CLOSED,TXN003771
DISP00169,TXN006470,Unauthorized,2024-01-19,2024-02-03,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN006470
DISP00170,TXN011804,Merchant Error,2024-04-21,2024-05-19,Resolved,28,OTHER,Other,CLOSED,TXN011804
DISP00171,TXN011944,Merchant Error,2024-03-24,2024-04-18,Resolved,25,OTHER,Other,CLOSED,TXN011944
DISP00172,TXN013286,Merchant Error,2024-06-20,2024-07-11,Resolved,21,OTHER,Other,CLOSED,TXN013286
DISP00173,TXN006518,Unauthorized,2024-09-05,2024-09-16,Resolved,11,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN006518
DISP00174,TXN010723,Merchant Error,2024-11-15,2024-12-05,Resolved,20,OTHER,Other,CLOSED,TXN010723
DISP00175,TXN_DUP000115,Duplicate Charge,2024-01-06,2024-02-07,Resolved,32,DUPLICATE_CHARGE,Billing,CLOSED,TXN007982
DISP00176,TXN004957,Unauthorized,2024-03-21,2024-04-05,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN004957
DISP00177,TXN001072,Unauthorized,2024-12-11,2024-12-30,Resolved,19,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN001072
DISP00178,TXN000631,Merchant Error,2024-08-06,2024-08-31,Resolved,25,OTHER,Other,CLOSED,TXN000631
DISP00179,TXN014573,Merchant Error,2024-11-02,2024-11-24,Resolved,22,OTHER,Other,CLOSED,TXN014573
DISP00180,TXN004070,Merchant Error,2024-06-05,2024-07-03,Resolved,28,OTHER,Other,CLOSED,TXN004070
DISP00181,TXN016741,Unauthorized,2024-01-14,2024-02-03,Resolved,20,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN016741
DISP00182,TXN_DUP000166,Duplicate Charge,2024-12-10,2025-01-20,Resolved,41,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP000166
DISP00183,TXN_DUP000603,Duplicate Charge,2024-12-08,2025-01-22,Resolved,45,DUPLICATE_CHARGE,Billing,CLOSED,TXN016298
DISP00184,TXN016820,Unauthorized,2024-12-15,2025-01-04,Resolved,20,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN016820
DISP00185,TXN009058,Unauthorized,2024-01-18,2024-01-29,Resolved,11,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN009058
DISP00186,TXN004238,Merchant Error,2024-02-05,2024-03-01,Resolved,25,OTHER,Other,CLOSED,TXN004238
DISP00187,TXN012433,Merchant Error,2024-01-26,2024-02-24,Resolved,29,OTHER,Other,CLOSED,TXN012433
DISP00188,TXN014177,Unauthorized,2024-07-18,2024-08-04,Resolved,17,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN014177
DISP00189,TXN019507,Merchant Error,2024-11-17,2024-12-15,Resolved,28,OTHER,Other,CLOSED,TXN019507
DISP00190,TXN004925,Unauthorized,2024-06-12,2024-06-22,Resolved,10,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN004925
DISP00191,TXN017957,Unauthorized,2024-03-28,2024-04-11,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN017957
DISP00192,TXN007076,Unauthorized,2024-04-23,2024-05-09,Resolved,16,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN007076
DISP00193,TXN007125,Unauthorized,2024-12-01,2024-12-11,Resolved,10,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN007125
DISP00194,TXN015225,Merchant Error,2024-03-13,2024-04-06,Resolved,24,OTHER,Other,CLOSED,TXN015225
DISP00195,TXN000857,Merchant Error,2024-08-11,2024-09-02,Resolved,22,OTHER,Other,CLOSED,TXN000857
DISP00196,TXN006319,Merchant Error,2024-12-02,2024-12-29,Resolved,27,OTHER,Other,CLOSED,TXN006319
DISP00197,TXN015595,Merchant Error,2024-04-16,2024-05-08,Resolved,22,OTHER,Other,CLOSED,TXN015595
DISP00198,TXN009726,Merchant Error,2024-06-23,2024-07-13,Resolved,20,OTHER,Other,CLOSED,TXN009726
DISP00199,TXN_DUP001816,Duplicate Charge,2024-07-01,2024-08-12,Resolved,42,DUPLICATE_CHARGE,Billing,CLOSED,TXN004292
DISP00200,TXN006775,Unauthorized,2024-11-20,2024-12-05,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN006775
DISP00201,TXN009966,Merchant Error,2024-04-04,2024-05-02,Resolved,28,OTHER,Other,CLOSED,TXN009966
DISP00202,TXN012260,Unauthorized,2024-08-21,2024-09-04,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN012260
DISP00203,TXN016021,Unauthorized,2024-05-17,2024-05-31,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN016021
DISP00204,TXN010926,Merchant Error,2024-07-12,2024-08-06,Resolved,25,OTHER,Other,CLOSED,TXN010926
DISP00205,TXN006543,Merchant Error,2024-09-15,2024-10-08,Resolved,23,OTHER,Other,CLOSED,TXN006543
